universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,10,492,249,0.01614253879774542,0.012078624853679498,0.5943775100401606,2.894324714966628,0.004138119797269761,0.013241983351263234
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,20,490,247,0.01679755470294413,0.005761948008316464,0.5303643724696356,2.4395614915049233,0.01541249390028935,0.027399989156069955
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,30,486,244,0.04171125073583325,0.012337104263819731,0.5655737704918032,1.8026376905846193,0.0726841153995261,0.10572234967203796
pool,Full,standalone_bbwp,bbwp_down98_after_downtrend,60,470,234,0.07037354206308517,0.02886146304143619,0.5683760683760684,3.6729347567064137,0.0002974510569272495,0.002379608455417996
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,10,493,334,0.006170255756333057,-0.0005318864952246205,0.4880239520958084,0.9495471218316401,0.3430310341418694,0.3920354675907079
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,20,489,332,0.004726388689625455,-0.003191349789882253,0.48493975903614456,0.6873935970651954,0.492316086700867,0.5251371591475915
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,30,487,330,0.005184546271999522,0.0032543708379211833,0.5121212121212121,0.5850052859160387,0.5589451533991514,0.5589451533991514
pool,Full,standalone_bbwp,bbwp_down98_after_uptrend,60,470,316,0.024396613175431927,-0.014822467644448167,0.4462025316455696,1.496048275149222,0.13564228543427706,0.18085638057903608
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,10,1253,423,0.010175174152046398,0.009066158390608203,0.5721040189125296,2.704709306628629,0.007113069607465219,0.01625844481706336
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,20,1246,416,0.01906802992245479,0.0013224049137805852,0.5096153846153846,3.3175526690001456,0.0009881238668250762,0.004007404474835887
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,30,1240,411,0.03772980151682761,0.00576070873937895,0.5182481751824818,2.783435260016527,0.005627476102661628,0.015006602940431006
pool,Full,standalone_bbwp,bbwp_highturn_after_downtrend,60,1199,395,0.0728230996533464,0.03848723172912594,0.6177215189873417,4.964048775233253,1.0297267662545397e-06,1.6475628260072635e-05
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,10,1256,557,0.016864950419544562,0.005425076629556713,0.5601436265709157,3.307582845758516,0.0010018511187089717,0.004007404474835887
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,20,1248,553,0.014425374624790311,0.00717103943809394,0.5443037974683544,2.592964869503349,0.009767553269411934,0.019535106538823867
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,30,1244,549,0.008233268232289323,0.006195817919867563,0.5318761384335154,1.1324856179143883,0.25792559491373446,0.3174468860476732
pool,Full,standalone_bbwp,bbwp_highturn_after_uptrend,60,1200,525,0.04329611238706121,-0.01389052273942415,0.4514285714285714,2.3843493193751324,0.017464188059604577,0.027942700895367323
pool,Full,pmarp_combo,pmarp_up2_base,30,2447,600,0.026325812757782775,0.00835671869100297,0.5433333333333333,4.350606485584608,1.5959045229849252e-05,7.979522614924627e-05
pool,Full,pmarp_combo,pmarp_up2_base,60,2303,572,0.06176415025747176,0.020660941914873,0.5716783216783217,4.943713098050776,1.0090235120234335e-06,1.0090235120234336e-05
pool,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,30,44,31,0.011452321641008808,-0.027901473199738014,0.41935483870967744,0.37199344473215,0.7125125250925762,0.7871339866836525
pool,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,60,41,28,0.14346557774341204,0.01224871301571917,0.6071428571428571,1.4216626447952287,0.16657318715287325,0.25532751381743246
pool,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,30,67,47,-0.009605778823896224,-0.0353855304907549,0.40425531914893614,-0.271614208158612,0.7871339866836525,0.7871339866836525
pool,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,60,60,41,0.17249480914834892,0.02229776560820751,0.5609756097560976,1.738693261069821,0.08978133171609273,0.17956266343218547
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,157,66,0.06735601772088252,0.018040714769627854,0.5454545454545454,1.3593625669072666,0.1787292596722027,0.25532751381743246
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,152,62,0.1685186117923523,0.021264292008595642,0.6290322580645161,2.3492986652276358,0.022063005658379466,0.05515751414594866
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,185,85,0.04453514062792706,0.016529500978400558,0.5294117647058824,1.0648918214845582,0.28997635881417344,0.3624704485177168
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,175,77,0.1739504569822178,0.02229776560820751,0.6103896103896104,2.517786981857804,0.013913772825334835,0.04637924275111612
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,10,221,114,0.01640222169375505,0.012849374464046937,0.6228070175438597,2.865012509730861,0.004973395532758732,0.01989358213103493
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,20,221,114,0.020677343129417953,0.008942224467868631,0.5877192982456141,2.3314801376057344,0.02150055068680571,0.04300110137361142
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,30,221,114,0.030217787727282133,0.015326090121942748,0.6228070175438597,2.394949680875076,0.018267017743731094,0.0417531834142425
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,60,221,114,0.05434398141441977,0.03673749110451116,0.6052631578947368,3.047078962446559,0.0028771187680959563,0.01989358213103493
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,10,214,133,0.0067146992974031665,-0.004924466319544962,0.45112781954887216,0.7242184506644921,0.47021327358984333,0.5787240290336533
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,20,214,133,0.0017579442062782744,-0.010954862296021606,0.43609022556390975,0.17289359833564558,0.8629998903645589,0.8629998903645589
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,30,214,133,-0.0034252810963076906,-0.006246022809917595,0.47368421052631576,-0.3040212476273382,0.7615904296683829,0.8123631249796084
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,60,214,133,-0.016787651680066046,-0.008663909109599022,0.45864661654135336,-1.0916326275647446,0.2769831014718555,0.4028845112317898
pool,IS,standalone_bbwp,bbwp_highturn_after_downtrend,10,537,190,0.011097441107225648,0.011103542152806508,0.6,2.517159660235399,0.012661643854894843,0.033764383613052916
pool,IS,standalone_bbwp,bbwp_highturn_after_downtrend,20,537,190,0.02133049231677793,0.008568414987579903,0.5736842105263158,2.8661596375294116,0.004625891881330899,0.01989358213103493
pool,IS,standalone_bbwp,bbwp_highturn_after_downtrend,30,537,190,0.028011821973191138,0.016545479422805986,0.5736842105263158,2.6975775913486384,0.00761638624170411,0.024372435973453153
pool,IS,standalone_bbwp,bbwp_highturn_after_downtrend,60,537,190,0.050828474356004585,0.0396700265229083,0.6578947368421053,3.8196989374454744,0.0001811219836108861,0.0028979517377741774
pool,IS,standalone_bbwp,bbwp_highturn_after_uptrend,10,495,209,0.013590080972889483,0.0022779049671439733,0.5311004784688995,2.088019979086114,0.03801341249641051,0.06757939999361869
pool,IS,standalone_bbwp,bbwp_highturn_after_uptrend,20,495,209,0.006166142138798327,-0.006098269206203673,0.45454545454545453,0.7664706376673245,0.4442653272109869,0.5787240290336533
pool,IS,standalone_bbwp,bbwp_highturn_after_uptrend,30,495,209,-0.005262033275385167,-0.002675795343908993,0.49282296650717705,-0.6011558985355351,0.5483907212603923,0.6267322528690198
pool,IS,standalone_bbwp,bbwp_highturn_after_uptrend,60,495,209,-0.023513387477118758,-0.00874715109600055,0.4688995215311005,-1.9473611704448583,0.05283749408936092,0.08453999054297748
pool,IS,pmarp_combo,pmarp_up2_base,30,1259,307,0.021685049278340734,0.006508735458579107,0.5374592833876222,3.112421207949028,0.002030827716792361,0.010154138583961804
pool,IS,pmarp_combo,pmarp_up2_base,60,1259,307,0.033312576590046904,0.017519600200663454,0.5863192182410424,3.5129355758809795,0.0005100174084558959,0.0051001740845589595
pool,IS,pmarp_combo,pmarp_up2_accept_down98_same_day,30,13,11,0.04190688079598141,0.024067615054670477,0.6363636363636364,1.3548779113276206,0.2052721504940098,0.20527215049400976
pool,IS,pmarp_combo,pmarp_up2_accept_down98_same_day,60,13,11,0.09942568616524189,0.11155198965728713,0.7272727272727273,1.9772491985389244,0.07622051368756544,0.10888644812509349
pool,IS,pmarp_combo,pmarp_up2_accept_down98_recent3,30,20,16,0.043420064656875215,0.01996851502104896,0.5625,1.5741566961400557,0.13630322287721597,0.15144802541912886
pool,IS,pmarp_combo,pmarp_up2_accept_down98_recent3,60,20,16,0.07525435127639833,0.1080942612229602,0.625,1.6471326605112873,0.1203146222705649,0.15039327783820614
pool,IS,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,41,30,0.06742530033056396,0.023908958486242783,0.6666666666666666,2.0140794264588724,0.053360618541895125,0.08893436423649187
pool,IS,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,41,30,0.09488959661380961,0.055517232382602213,0.7333333333333333,2.245543037053057,0.03252349450164538,0.06578573517084366
pool,IS,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,50,37,0.06472165700476115,0.024067615054670477,0.6486486486486487,2.2934701342089174,0.02776571071408983,0.06578573517084366
pool,IS,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,50,37,0.08140293531092449,0.05420587047093117,0.6756756756756757,2.218798720731435,0.03289286758542183,0.06578573517084366
pool,OOS,standalone_bbwp,bbwp_down98_after_downtrend,10,271,135,0.01592325101889284,0.011082004326269823,0.5703703703703704,1.7494482240242328,0.08250298327209014,0.1466719702614936
pool,OOS,standalone_bbwp,bbwp_down98_after_downtrend,20,269,133,0.013472021765966569,-0.00229024820980576,0.48120300751879697,1.3073382132700557,0.19337049692198433,0.25782732922931245
pool,OOS,standalone_bbwp,bbwp_down98_after_downtrend,30,265,130,0.05179013368179345,0.006701114626948751,0.5153846153846153,1.2313422358395558,0.22043500346490322,0.2713046196491117
pool,OOS,standalone_bbwp,bbwp_down98_after_downtrend,60,249,120,0.0856016246793173,0.018983329378411445,0.5333333333333333,2.5685254419654613,0.011449796680884415,0.03663934937883013
pool,OOS,standalone_bbwp,bbwp_down98_after_uptrend,10,279,201,0.005810002069953335,0.001116023784226483,0.5124378109452736,0.6525115508625244,0.5148204974528927,0.5148204974528927
pool,OOS,standalone_bbwp,bbwp_down98_after_uptrend,20,275,199,0.006710323947339901,0.005262675768078262,0.5175879396984925,0.724683553654413,0.4695016752027657,0.5008017868829501
pool,OOS,standalone_bbwp,bbwp_down98_after_uptrend,30,273,197,0.010997272363293219,0.006950300198975912,0.5380710659898477,0.8621577340427606,0.3896543384851172,0.4453192439829911
pool,OOS,standalone_bbwp,bbwp_down98_after_uptrend,60,256,183,0.054328346649646295,-0.01621049813076736,0.4371584699453552,2.117269810753178,0.035595296847104774,0.0949207915922794
pool,OOS,standalone_bbwp,bbwp_highturn_after_downtrend,10,716,233,0.009423110969711386,0.006739613433487475,0.5493562231759657,1.620381071626684,0.10650883211621845,0.1651381905308815
pool,OOS,standalone_bbwp,bbwp_highturn_after_downtrend,20,709,226,0.017165959767935335,-0.005267916697487468,0.4557522123893805,2.0090076802053645,0.04573109555917467,0.10404292055528457
pool,OOS,standalone_bbwp,bbwp_highturn_after_downtrend,30,703,221,0.04608462555886803,-0.004108859635663066,0.47058823529411764,1.953555576713005,0.05202146027764228,0.10404292055528457
pool,OOS,standalone_bbwp,bbwp_highturn_after_downtrend,60,662,205,0.09320836212405344,0.029033602036465433,0.5804878048780487,3.671186636332751,0.0003082956342973391,0.004932730148757425
pool,OOS,standalone_bbwp,bbwp_highturn_after_uptrend,10,761,348,0.018831754196414998,0.010789751585014676,0.5775862068965517,2.6267908530163777,0.009001638227972408,0.03663934937883013
pool,OOS,standalone_bbwp,bbwp_highturn_after_uptrend,20,753,344,0.019443338547965674,0.013977339025353386,0.5988372093023255,2.597494950271875,0.009795227443299206,0.03663934937883013
pool,OOS,standalone_bbwp,bbwp_highturn_after_uptrend,30,749,340,0.016528909453183353,0.010527406466110945,0.5558823529411765,1.5866134320569214,0.11353250598998102,0.1651381905308815
pool,OOS,standalone_bbwp,bbwp_highturn_after_uptrend,60,705,316,0.08748340818330683,-0.014885259586337116,0.439873417721519,3.0328762547665553,0.0026237162701254597,0.020989730161003677
pool,OOS,pmarp_combo,pmarp_up2_base,30,1188,293,0.031188319202112826,0.010795019804068051,0.5494880546075085,3.1133345234002157,0.0020333534984628564,0.010166767492314282
pool,OOS,pmarp_combo,pmarp_up2_base,60,1044,265,0.09472502994011113,0.02730021652585465,0.5547169811320755,3.8662220517894417,0.00013923676360597128,0.0013923676360597128
pool,OOS,pmarp_combo,pmarp_up2_accept_down98_same_day,30,31,20,-0.005297685894226123,-0.05187014350273772,0.3,-0.11842835674038031,0.9069713612088786,0.9069713612088786
pool,OOS,pmarp_combo,pmarp_up2_accept_down98_same_day,60,28,17,0.1719619781763457,0.007169056788961209,0.5294117647058824,1.043580208675988,0.31219159949420117,0.5203193324903354
pool,OOS,pmarp_combo,pmarp_up2_accept_down98_recent3,30,47,31,-0.036973956104294374,-0.05266302885511909,0.3225806451612903,-0.7198903167882049,0.4771640629597637,0.5964550786997046
pool,OOS,pmarp_combo,pmarp_up2_accept_down98_recent3,60,40,25,0.23472870218639727,0.011696879027266238,0.52,1.4654985202332373,0.15576435858205334,0.3115287171641067
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,116,36,0.06729828221281466,-0.023480444819667295,0.4444444444444444,0.7727038139202239,0.44488474463480954,0.5964550786997046
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,111,32,0.23754581352223603,0.007219113698917146,0.53125,1.7838336709344749,0.08424360726481772,0.2106090181620443
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,135,48,0.028974700920784108,-0.031318572053669794,0.4375,0.407592137911307,0.6854238022019242,0.7615820024465825
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,125,40,0.2595569145281641,0.01647456018453808,0.55,2.028938159324104,0.049330420116520717,0.16443473372173573
