cohort,horizon,n_events,n_path_scored,mean,median,p10,p25,p75,p90,top_10pct_contribution,bottom_10pct_contribution,mfe_mean,mae_mean,mfe_to_mae_ratio,right_tail_ratio,universe
pmarp_up2_accept_rvol_recent3,5,718,717,0.004161660346243779,0.00482428541464075,-0.07543034390018197,-0.02952020137811795,0.039629426464314,0.0728681265501573,3.267785183597784,-3.0040020988108256,0.04839256441979117,-0.048445127160447056,0.9989150045889693,0.9660320075775435,pool
pmarp_up2_accept_rvol_recent3,10,718,716,0.015086247290958992,0.01043365463643553,-0.07320346639283037,-0.02895840887049153,0.052986615245854574,0.11119331483313888,1.1713426675291987,-0.8024489474777692,0.07082685871639241,-0.06036700506757321,1.1732710383281515,1.5189624250366,pool
pmarp_up2_accept_rvol_recent3,20,718,715,0.024726303972740782,0.01741199099030699,-0.11130253612758145,-0.04549517615189874,0.08246123295532459,0.1457865149502239,1.1105507985238927,-0.7048733537126572,0.1056657831977409,-0.08174727205556466,1.2925909396208173,1.3098220402014462,pool
pmarp_up2_accept_rvol_recent3,40,718,693,0.05297635290569767,0.029544521953221103,-0.14511824335541718,-0.0708460754332314,0.13179992698065002,0.24536419736703313,0.9566881938543255,-0.45113098887618297,0.17037193860991104,-0.11409944931839384,1.4931880883534252,1.6907880890350775,pool
pmarp_up2_accept_rvol_recent3,60,718,660,0.07783468547974287,0.036013066995829957,-0.17125664477969232,-0.0715352306219971,0.153342268398033,0.3290313156249499,0.9187608618946118,-0.3359849694135225,0.22058417458701904,-0.1322676273475897,1.6677109812164383,1.9212761995204437,pool
pmarp_up2_base,5,2870,2865,0.005640432393536811,0.006448357070763633,-0.07387998591992881,-0.030660377358490587,0.04012609181059945,0.08213501055378536,2.5219117660533787,-2.224859716778556,0.05055202317460885,-0.048314843460206654,1.046304190476055,1.1117356010706791,pool
pmarp_up2_base,10,2870,2863,0.01722159385163955,0.011927454931648596,-0.0863697959792747,-0.032687673531849315,0.058942628042404355,0.12245886410031047,1.224983877709042,-0.8408575432589273,0.07665290486773281,-0.06255008906546387,1.2254643600508572,1.417843618962533,pool
pmarp_up2_base,20,2870,2810,0.02736287342001697,0.01531272356184521,-0.11116193906208693,-0.04883444450028676,0.08221142512899776,0.15588946153070263,1.1459634806327774,-0.6611397106475803,0.11261017515259306,-0.0855274872957769,1.316654782142225,1.402363640343069,pool
pmarp_up2_base,40,2870,2692,0.062483561611609284,0.03192070222070342,-0.14418207803700958,-0.06360320884605655,0.13985777596325488,0.27977671462826736,0.8816208215486743,-0.3867288347073131,0.17769065202827986,-0.11679137661496572,1.5214364037687904,1.940440299081086,pool
pmarp_up2_base,60,2870,2584,0.08812650655971958,0.04418284642679182,-0.1724981198838416,-0.06990457617357745,0.17791130585602738,0.36878614978063196,0.8132156721248273,-0.31135915725322266,0.23322901636240848,-0.13359767678282916,1.74575652794873,2.1379140249700614,pool
pmarp_up2_reject_rvol_recent3,5,2152,2148,0.006134044850663954,0.007155585772250839,-0.07340259931794207,-0.03134956137298736,0.04023994028982064,0.08409009140681457,2.3477182687734266,-2.0481688454836675,0.0512728480941639,-0.04827135490663479,1.0621795927074043,1.1456010030731993,pool
pmarp_up2_reject_rvol_recent3,10,2152,2147,0.017933707562607076,0.012296992693315856,-0.09105362141759404,-0.034046969225957124,0.061646204573015395,0.12984506864844444,1.2361967535900587,-0.8473529290283526,0.07859582477661019,-0.06327812266699612,1.242069477791308,1.4260286041006913,pool
pmarp_up2_reject_rvol_recent3,20,2152,2095,0.028262704997488317,0.014551083591331393,-0.11080183202570548,-0.04902956757735466,0.08220487702663781,0.1602570329136626,1.1582179588135466,-0.6499550838159868,0.11498021823026336,-0.08681763235389228,1.3243878589267757,1.4463391984031795,pool
pmarp_up2_reject_rvol_recent3,40,2152,1999,0.06577945737608991,0.032531437944231856,-0.14399522712884358,-0.06075036026951158,0.14153788978185255,0.2907440710816733,0.8581000286905449,-0.36874193041158054,0.1802278548291451,-0.11772459603293688,1.5309277831687877,2.0191229728852216,pool
pmarp_up2_reject_rvol_recent3,60,2152,1924,0.09165696493434779,0.04886894436514,-0.1724981198838416,-0.06886641569053314,0.18653867041441974,0.3834021013447736,0.7805301266183405,-0.3041855576471569,0.2375666439984568,-0.1340539307471005,1.7721721599244877,2.2226451024680878,pool
rvol_up2_pmarp_gte60,5,2446,2430,0.009988335788054735,0.0031313990609540543,-0.07579196606128254,-0.02937729755705118,0.03877075010873787,0.09076920544685835,1.9705634943304813,-1.3141225443870246,0.06034733483077014,-0.04429679210929802,1.3623409722733189,1.1976098544991665,pool
rvol_up2_pmarp_gte60,10,2446,2419,0.020278191094539308,0.009616756556230843,-0.09373575242753807,-0.034605447070121864,0.05675362657497762,0.13622411446985022,1.332568890201852,-0.7822081681800703,0.08584977350542777,-0.05862030687041807,1.4645056992826948,1.4532780816493425,pool
rvol_up2_pmarp_gte60,20,2446,2414,0.030675520604324432,0.012368430629386085,-0.1232187326803284,-0.05070002820468977,0.07977193124846627,0.19134545823130986,1.2645123384806656,-0.6789874010212101,0.12604441767607472,-0.07947404981893716,1.585982065381557,1.5528926005733683,pool
rvol_up2_pmarp_gte60,40,2446,2385,0.04636427504884524,0.011955681525380069,-0.18422322579660838,-0.07958287596048308,0.11454643693342148,0.26282380373342235,1.3169050817698147,-0.6276023288978005,0.19049340450715818,-0.11249935060698082,1.693284481015819,1.4266594377388273,pool
rvol_up2_pmarp_gte60,60,2446,2321,0.07113501622262987,0.021513599719772847,-0.22454785990815918,-0.09890229126354066,0.14231601731601717,0.3349968106262431,1.2075253885201436,-0.4781827786849555,0.2544825628737936,-0.1385157601508774,1.8372101672517271,1.4918726491682348,pool
rvol_up2_pmarp_gte60_sign_pos_close_near_high,5,1030,1022,0.0075368649315498805,0.0007924871737028383,-0.07942864225844806,-0.03587956682047022,0.03787060581103968,0.08863425663566368,2.5016575056444057,-1.6542466886946705,0.06013098548987526,-0.045432675029310955,1.3235184908456672,1.1158979193835648,pool
rvol_up2_pmarp_gte60_sign_pos_close_near_high,10,1030,1015,0.02406587813772657,0.009291377461075223,-0.09187146902830778,-0.03841843034469983,0.05915714705330577,0.1457896453691856,1.2312460425581009,-0.6176290010967206,0.08862767952032176,-0.059837518168599876,1.4811389615224668,1.5868870598364366,pool
rvol_up2_pmarp_gte60_sign_pos_close_near_high,20,1030,1012,0.031052284974299526,0.010577982719885082,-0.1206319011362741,-0.05268747656821843,0.0819533636544309,0.19600763059009788,1.2462652972804402,-0.6518308515454356,0.13017880794561582,-0.08214656962613717,1.5847138661794573,1.6248407655341033,pool
rvol_up2_pmarp_gte60_sign_pos_close_near_high,40,1030,999,0.05429057266576069,0.010912240184757671,-0.19226682947656257,-0.08615133869988317,0.12694183915654345,0.2853263958999167,1.228254198303025,-0.5270922699984236,0.19787681164821005,-0.11537746301051197,1.7150386781357954,1.4840125916503875,pool
rvol_up2_pmarp_gte60_sign_pos_close_near_high,60,1030,976,0.07549665538133056,0.016056041647775632,-0.2273191085809247,-0.10021650239901023,0.14738879962701934,0.3579047448967082,1.1788270927352973,-0.4444868467550291,0.2629766322706577,-0.14196073054621997,1.852460404076584,1.5744595653703946,pool
rvol_up2_pmarp_lt30_close_near_low,5,1067,1063,0.009890473747077088,0.00654678561816846,-0.06543760226363846,-0.02526915641972083,0.04356779589272297,0.08668357885620004,1.5047146057760759,-1.1432637101171081,0.05518265003399788,-0.04488489565369538,1.2294258286741653,1.3246753526659591,pool
rvol_up2_pmarp_lt30_close_near_low,10,1067,1061,0.018305065179071774,0.012434782608695683,-0.07931870126740703,-0.028219395866454722,0.05937236687971392,0.11135265700483088,1.1080623436281871,-0.7642105450363498,0.07496492957994509,-0.058073831274897895,1.2908555873486565,1.4038638457963124,pool
rvol_up2_pmarp_lt30_close_near_low,20,1067,1055,0.031175214081023986,0.019228186800645197,-0.09973394440602501,-0.04519561513060405,0.08976219966041754,0.17193889459413164,0.9436155605939218,-0.5561969030027509,0.10817653432187888,-0.07777396237507266,1.3909093868740645,1.7239756796758623,pool
rvol_up2_pmarp_lt30_close_near_low,40,1067,1032,0.04682230119245845,0.014738021862186423,-0.14145113362768763,-0.06270246001087681,0.12306499054384606,0.25714899790612794,0.9825093170307504,-0.47943415495548247,0.15913705180848475,-0.11141883091721325,1.4282778817408992,1.8179352212402038,pool
rvol_up2_pmarp_lt30_close_near_low,60,1067,983,0.0731559178260784,0.026738864796223893,-0.17355174121096534,-0.07956339960005154,0.15574612091709406,0.32411787339846093,0.9438316778103127,-0.35968515991046807,0.20889263968991473,-0.13037347926058598,1.602263289088016,1.8675576006147412,pool
rvol_up2_pmarp_lt30_sign_neg,5,1793,1784,0.006897677257322728,0.005072491191458139,-0.06920898434014425,-0.029374064585108495,0.0407876198127155,0.08314475361087517,1.960579068714623,-1.6306100620276567,0.05167790528532006,-0.04561159829163657,1.1329992199548906,1.201357806411957,pool
rvol_up2_pmarp_lt30_sign_neg,10,1793,1781,0.014164520092445024,0.010177678109366983,-0.08226726534592077,-0.0318658721462558,0.05663319287955004,0.10818471198709267,1.3261558828610116,-0.9869122164570683,0.07118791895415424,-0.05905837553291411,1.2053822732472579,1.31503960332452,pool
rvol_up2_pmarp_lt30_sign_neg,20,1793,1772,0.02744473007594906,0.01678759900368887,-0.10283436196202936,-0.048633849081994335,0.08623362351451208,0.16576757792155414,1.039697904064543,-0.6312622763019533,0.10476364892186105,-0.0787567317743163,1.3302183389487217,1.6119862539990504,pool
rvol_up2_pmarp_lt30_sign_neg,40,1793,1719,0.04646969049344208,0.018787878787878798,-0.14919236362739532,-0.06744271694823101,0.12390769531344825,0.2558767677482517,1.0073986707763065,-0.49011582187259095,0.16106532556962072,-0.11033561944792995,1.4597763294892394,1.7150795223494035,pool
rvol_up2_pmarp_lt30_sign_neg,60,1793,1638,0.07323176280419649,0.03237152420611478,-0.17031784844762532,-0.07588074792504862,0.16154108471948442,0.31856310687639416,0.9114944533980077,-0.35940415302172013,0.2092424397185776,-0.1291960018137035,1.6195736460970247,1.8704035412610085,pool
pmarp_up2_accept_rvol_recent3,5,2720,2712,0.003242069058765769,0.0029308183366170137,-0.05532490189504513,-0.025006566575963368,0.030996968760697907,0.061971980855551057,3.06671588674963,-2.786767101924185,0.038110052023500485,-0.0380623173643553,1.0012541185731871,1.1201462403515121,extended
pmarp_up2_accept_rvol_recent3,10,2720,2705,0.01021978290879033,0.008591490138667668,-0.06738748230752042,-0.025572963575388186,0.046603219832419995,0.0879551089414864,1.3024543556141859,-1.057058605485056,0.05542453176834161,-0.04898334408647527,1.1314975080201763,1.3052143503463498,extended
pmarp_up2_accept_rvol_recent3,20,2720,2698,0.022514452646955126,0.020184871174576346,-0.08334013672382992,-0.028946141824470945,0.07236776420123858,0.12801011986020128,0.8768103495693941,-0.6261000437435986,0.08220203793629331,-0.06577728436922516,1.2497025184997257,1.5359960385521976,extended
pmarp_up2_accept_rvol_recent3,40,2720,2594,0.0419341020297625,0.031931344537019624,-0.1153349262554923,-0.04421933656266622,0.11378530774359719,0.2005163077888245,0.808350068840706,-0.4641739949474416,0.12739796559194172,-0.08931789436393445,1.4263431364922947,1.7385566913584933,extended
pmarp_up2_accept_rvol_recent3,60,2720,2486,0.05976389074434369,0.042130128190157046,-0.12601814748852397,-0.045968115030805445,0.13217223895084768,0.23666084161412515,0.7478151286350277,-0.3495053436352721,0.16267592195652028,-0.10213749216878241,1.592715059889056,1.8779901651520232,extended
pmarp_up2_base,5,9936,9901,0.004623849604994216,0.004529428006688319,-0.05252093210133668,-0.022404020245840428,0.0312585428440062,0.061980839033623836,2.176817392975057,-1.9520355198216741,0.0385204775385438,-0.036037550237857735,1.068898337547865,1.1801168896628624,extended
pmarp_up2_base,10,9936,9875,0.011988444453467213,0.010123429388771754,-0.06564602681379143,-0.025536187915696118,0.04769485604634871,0.09097996597590223,1.1996676601557814,-0.9292292676771476,0.056863877466365204,-0.04729877526983583,1.202227269986616,1.385917326481493,extended
pmarp_up2_base,20,9936,9776,0.023107981653816626,0.018767626228346712,-0.08437026429888983,-0.0320824051625401,0.07342222787415886,0.13143914401159884,0.9018184873943514,-0.6036242779052328,0.08432472307095246,-0.06475092477221693,1.3022937258053522,1.557884701486331,extended
pmarp_up2_base,40,9936,9264,0.04251021155687025,0.030827106608909194,-0.11339801300772896,-0.043082796854842065,0.11422831983744408,0.20209630653530894,0.7928209077197816,-0.451644877057855,0.12854656881229606,-0.08860466769553217,1.4507877762604366,1.7821856060346886,extended
pmarp_up2_base,60,9936,8989,0.0625518217560568,0.04621751148063935,-0.12455045084333602,-0.041159880133967874,0.14156033729802453,0.2510638610836688,0.6990591799972696,-0.3455688910057464,0.16575075971247444,-0.1016709157380818,1.6302672058100773,2.015760355612569,extended
pmarp_up2_reject_rvol_recent3,5,7216,7189,0.00514511665762623,0.005030200487486924,-0.0515281492137668,-0.021505356128998288,0.031588482299615306,0.06194893823084905,1.9652792397487764,-1.7523275135595582,0.03867530769528291,-0.03527372099219612,1.0964340196442373,1.202234878917369,extended
pmarp_up2_reject_rvol_recent3,10,7216,7170,0.012655701005538476,0.010614596063368786,-0.06487316765330184,-0.025411215293409534,0.047995721679288395,0.09186926811127494,1.1680456131770764,-0.8900924776496398,0.057406894218548436,-0.04666324407750532,1.230237960378375,1.4161366160235445,extended
pmarp_up2_reject_rvol_recent3,20,7216,7078,0.02333422370814162,0.017935779722066947,-0.08477098078500685,-0.03351736570482444,0.07397135905963431,0.13280788663171242,0.9108062526366929,-0.5953397875329544,0.08513385057777786,-0.06435969586677356,1.3227820522024747,1.5666668640833008,extended
pmarp_up2_reject_rvol_recent3,40,7216,6670,0.04273426374777243,0.030320454706980526,-0.11312371877635279,-0.04270794476394971,0.11458228469691395,0.20256989458735294,0.7868837523718203,-0.4468480233925887,0.12899326697625396,-0.08832728988776074,1.4604010509115393,1.790693382241407,extended
pmarp_up2_reject_rvol_recent3,60,7216,6503,0.06361760623939045,0.04756907504812746,-0.12390766376669579,-0.040007150698614546,0.1457223999726267,0.25370726064160376,0.6816847854340253,-0.34444652156180633,0.16692622436898713,-0.10149255052099401,1.6447140554858555,2.047550998292616,extended
rvol_up2_pmarp_gte60,5,8410,8370,0.0036581662825990813,0.002388044541671408,-0.05271435338585151,-0.022875412370010756,0.028004685669741403,0.05984579934115375,2.8674774528395663,-2.4546334023179006,0.03696718691129053,-0.03302660161081108,1.1193154944282708,1.1352847089501872,extended
rvol_up2_pmarp_gte60,10,8410,8354,0.008237904929901455,0.0066764606562305095,-0.0707158912716062,-0.029605508786420404,0.04227110995143152,0.08429660389494989,1.7854226244782299,-1.417900943364375,0.05378552331523825,-0.045214724672894134,1.1895576873319376,1.1920461211636686,extended
rvol_up2_pmarp_gte60,20,8410,8300,0.01466125498180292,0.01070105793191245,-0.09323918869574556,-0.040966126071120684,0.06330122795236165,0.12339362836333084,1.4368840493591333,-1.0544023949069539,0.07849175663740675,-0.06201805648874356,1.2656274814360429,1.323409502907453,extended
rvol_up2_pmarp_gte60,40,8410,8116,0.021929543208429977,0.012216907311381253,-0.13251643796783463,-0.058809493479288516,0.0895046159072378,0.17198586996057474,1.4056258440857545,-0.9347867834854574,0.11533705252304298,-0.08752930061010326,1.3176964938496258,1.2978455548459613,extended
rvol_up2_pmarp_gte60,60,8410,7838,0.03559091986247959,0.020228511668118454,-0.1571263489314041,-0.0679941399827749,0.11215934492104185,0.21639593898218495,1.1737910831664125,-0.673176599089203,0.14862530287759565,-0.10465282903008516,1.4201747268090523,1.3772097452392018,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,5,3148,3131,0.0024889570849335294,-0.0001337236703452538,-0.05648534917895731,-0.025964191011500493,0.026931654099335844,0.06180848804127148,4.583181302059198,-3.7787709580687987,0.03926226739113696,-0.0353014826660373,1.1121988207285762,1.0942392839858237,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,10,3148,3124,0.009977919769723939,0.00611601843782017,-0.07077217422786028,-0.031610098532103253,0.04448968014439314,0.09068441245726097,1.6495074852455105,-1.1668524347899456,0.057373725080370024,-0.047005571375100585,1.2205728683209152,1.2813568813823726,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,20,3148,3113,0.016413374816015337,0.009271067832889113,-0.09338152120727462,-0.0425320906188007,0.06445606019675676,0.12926121691108552,1.4097394563818395,-0.9550240361429886,0.08361477751236963,-0.06405703047646197,1.3053177284434727,1.3842269352645307,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,40,3148,3053,0.02570444676712639,0.01146924939651539,-0.13758894277759134,-0.06165453961793099,0.09473482356732243,0.18604447412174624,1.357494870267249,-0.835628306487871,0.12472983412925757,-0.09085503861153921,1.3728444347765214,1.352176056926914,extended
rvol_up2_pmarp_gte60_sign_pos_close_near_high,60,3148,2967,0.04116508574551768,0.02063174427331327,-0.1626617990178767,-0.07257043470165869,0.11424312730697761,0.22157579433844599,1.1871089870260996,-0.6016122228248372,0.16230329199340665,-0.10868821915364052,1.4932924033282433,1.3621870388516641,extended
rvol_up2_pmarp_lt30_close_near_low,5,3981,3973,0.008680522692993756,0.00786443160752115,-0.05195376304476029,-0.020217468816375983,0.03679016793770895,0.06867380911276343,1.2918323663634146,-1.0289541857046673,0.04305177252107565,-0.035808980920639985,1.2022618743741178,1.321825505759768,extended
rvol_up2_pmarp_lt30_close_near_low,10,3981,3967,0.01268845944753061,0.009982661777730328,-0.06622848877424209,-0.02551026794043365,0.05042675355258286,0.09122038301165848,1.137578327482447,-0.8641918164271956,0.05867633411859194,-0.04706670239689333,1.2466633762399488,1.3773586669417763,extended
rvol_up2_pmarp_lt30_close_near_low,20,3981,3941,0.02416336711364622,0.02077468217720746,-0.08317631224764455,-0.031774021103390226,0.07542127938048737,0.1354042950781904,0.8532301990657059,-0.5740752932892124,0.0830003467677855,-0.0623215212238731,1.331808741792893,1.627918952153651,extended
rvol_up2_pmarp_lt30_close_near_low,40,3981,3825,0.03767136282862688,0.02649931034849673,-0.11537422264935028,-0.04517989733016614,0.10777253807902332,0.19430746228167664,0.8386152325358195,-0.48950327347995487,0.12387092340031235,-0.08644733249368919,1.432906254329538,1.68414969843154,extended
rvol_up2_pmarp_lt30_close_near_low,60,3981,3691,0.05476106885553153,0.03715283439299366,-0.12533052472630568,-0.04856611385994508,0.13409917368751956,0.2398389718974996,0.7578632770364573,-0.3763547062615761,0.156182979793874,-0.10053078529438335,1.5535836046294162,1.9136517015408272,extended
rvol_up2_pmarp_lt30_sign_neg,5,6484,6458,0.007146794223989995,0.00711793255604054,-0.055114521349205726,-0.022302540456691028,0.03676681396884318,0.06920743655240091,1.5360615238848152,-1.3188251983200716,0.042952836706165724,-0.03785889449837305,1.1345507383479352,1.2557023967223166,extended
rvol_up2_pmarp_lt30_sign_neg,10,6484,6447,0.01090073583288562,0.009708728874782357,-0.07301504832061989,-0.029092028718387064,0.051132265525747345,0.09233357995205141,1.3234006852493447,-1.080103844469022,0.058769404397115095,-0.04968236577631933,1.1829026955299908,1.2645828781294643,extended
rvol_up2_pmarp_lt30_sign_neg,20,6484,6406,0.022023182820378122,0.019097427366076558,-0.09066025648483472,-0.0379043537179245,0.07556530710191878,0.13747696794496334,0.9471869455206443,-0.6593596720954219,0.08410800921863647,-0.06556549729138851,1.2828089878559248,1.5163972977283593,extended
rvol_up2_pmarp_lt30_sign_neg,40,6484,6199,0.034830069987275926,0.0219171337328945,-0.12200058932318168,-0.05285067443676916,0.10789829527569494,0.1971568014775583,0.9372071987488719,-0.5494181299036797,0.12524489438416433,-0.08982776427864962,1.394278209971354,1.616031550104127,extended
rvol_up2_pmarp_lt30_sign_neg,60,6484,5972,0.05350022390702001,0.03640054098965673,-0.133717073699368,-0.0554983624202868,0.13443856405991744,0.24333695053955798,0.7918912492926891,-0.3980634394739867,0.15835661830540923,-0.10456739955258254,1.5143975941161123,1.8197896783670646,extended
